"drama","character","corpus","scenes","actives","passives","presence","Speaker.figure_surface","nfig","length","V1","lastAct","tokens","types","utterances","utteranceLengthMean","utteranceLengthSd","firstBegin","lastEnd","TTR","Liebe","Familie","Krieg","Ratio","Religion","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","degree","wdegree","between","close","eigen","type"
"11g1d.0","adelheid","qd",55,7,7,0,"Adelheid",79,35983,"11g1d.0","1",2109,763,107,19.7102803738318,27.7026016576042,56703,165561,36.1782835467046,5.2684263210579e-05,1.74322929740886e-05,4.0258729434499e-05,3.41941131414816e-05,6.04023399866511e-06,0.520661157024793,0.00826446280991736,0.0450788880540947,0.0811419984973704,0.0879038317054846,0.0105184072126221,0.0255447032306536,0.02854996243426,0.00450788880540947,0.187828700225394,0.0897435897435897,14,0.0164846375789844,0.137809187279152,0.107512821334334,"schemer"
"11g1d.0","adelheid","qd",55,7,7,0,"Adelheid",79,35983,"11g1d.0","1",2109,763,107,19.7102803738318,27.7026016576042,56703,165561,36.1782835467046,5.2684263210579e-05,1.74322929740886e-05,4.0258729434499e-05,3.41941131414816e-05,6.04023399866511e-06,0.520661157024793,0.00826446280991736,0.0450788880540947,0.0811419984973704,0.0879038317054846,0.0105184072126221,0.0255447032306536,0.02854996243426,0.00450788880540947,0.187828700225394,0.0897435897435897,14,0.0164846375789844,0.137809187279152,0.107512821334334,"aristocrat"
"11g1d.0","bischof","qd",55,3,3,0,"Bischof",79,35983,"11g1d.0","0",733,369,35,20.9428571428571,22.9140887269137,35356,67668,50.3410641200546,2.2737608003638e-05,1.00312976486638e-05,5.14813766120106e-05,3.93535523139889e-05,2.60685951634066e-05,0.487128712871287,0.0138613861386139,0.0297029702970297,0.0732673267326733,0.130693069306931,0.0297029702970297,0.0198019801980198,0.0712871287128713,0.0158415841584158,0.128712871287129,0.0897435897435897,8,0.0787789580761314,0.149139579349904,0.0229779731032655,"cleric"
"11g1d.0","elisabeth","qd",55,10,9,0.0181818181818182,"Elisabeth",79,35983,"11g1d.0","1",1438,580,67,21.4626865671642,16.798564475293,18477,178718,40.3337969401947,5.40874671611807e-05,2.55665548556001e-05,6.23245073083685e-05,2.0059912271317e-05,2.21468245882905e-05,0.540420819490587,0.00996677740863787,0.0287929125138427,0.0642303433001107,0.10077519379845,0.0188261351052049,0.0155038759689922,0.035437430786268,0.00775193798449612,0.178294573643411,0.179487179487179,33,0.0263981333808566,0.143382352941176,0.621353410864857,"married_person"
"11g1d.0","franz","qd",55,9,6,0.0545454545454545,"Franz",79,35983,"11g1d.0","1",1373,532,61,22.5081967213115,28.3129080990866,50783,169856,38.7472687545521,9.7110949259529e-05,1.60661496936721e-05,3.43552886531353e-05,1.40063869124321e-05,5.10296389421092e-05,0.478309232480534,0.014460511679644,0.0400444938820912,0.0845383759733037,0.0723025583982203,0.014460511679644,0.017797552836485,0.0400444938820912,0.0155728587319244,0.222469410456062,0.115384615384615,20,0.0875137652661599,0.156941649899396,0.219244594590678,"servant"
"11g1d.0","georg","qd",55,11,9,0.0363636363636364,"Der Bube",79,35983,"11g1d.0","0",1503,592,58,25.9137931034483,26.8552222911545,5802,146663,39.3878908848969,1.10889332446219e-05,1.95687057258033e-05,3.4522150667219e-05,2.55898459491274e-05,8.47561776658996e-06,0.466188524590164,0.0153688524590164,0.0122950819672131,0.0747950819672131,0.155737704918033,0.0112704918032787,0.0163934426229508,0.0297131147540984,0.0163934426229508,0.201844262295082,0.205128205128205,36,0.0162330077025676,0.139285714285714,0.705248968480598,"unmarried_person"
"11g1d.0","weislingen","qd",55,10,11,-0.0181818181818182,"Weislingen",79,35983,"11g1d.0","1",3292,1086,139,23.6834532374101,34.6694611411084,23551,171585,32.9890643985419,8.10044552450385e-05,1.78686298334644e-05,4.01201311355143e-05,2.62875035050005e-05,2.70874770723855e-05,0.508796956728483,0.0104612458392772,0.0489776509747979,0.075130765572991,0.0860675225867808,0.00855920114122682,0.0242510699001427,0.0337612933903947,0.00808368996671422,0.195910603899192,0.243589743589744,32,0.149670517196208,0.145794392523364,0.290586742640739,"servant"
"11g1d.0","weislingen","qd",55,10,11,-0.0181818181818182,"Weislingen",79,35983,"11g1d.0","1",3292,1086,139,23.6834532374101,34.6694611411084,23551,171585,32.9890643985419,8.10044552450385e-05,1.78686298334644e-05,4.01201311355143e-05,2.62875035050005e-05,2.70874770723855e-05,0.508796956728483,0.0104612458392772,0.0489776509747979,0.075130765572991,0.0860675225867808,0.00855920114122682,0.0242510699001427,0.0337612933903947,0.00808368996671422,0.195910603899192,0.243589743589744,32,0.149670517196208,0.145794392523364,0.290586742640739,"citizen"
"11hdv.0","fernando","qd",5,2,3,-0.2,"FERNANDO",10,15813,"11hdv.0","1",3231,946,121,26.702479338843,56.3892195116672,11961,76941,29.2788610337357,8.94116028749269e-05,6.82724343219182e-05,2.33586190384424e-05,1.93438563912102e-05,3.54842715966148e-05,0.486256871564218,0.00949525237381309,0.0444777611194403,0.0249875062468766,0.00599700149925037,0.00399800099950025,0.216891554222889,0.0219890054972514,0.024487756121939,0.161419290354823,1,19,0.0208333333333333,0.529411764705882,0.872600794894912,"schemer"
"11hdv.0","fernando","qd",5,2,3,-0.2,"FERNANDO",10,15813,"11hdv.0","1",3231,946,121,26.702479338843,56.3892195116672,11961,76941,29.2788610337357,8.94116028749269e-05,6.82724343219182e-05,2.33586190384424e-05,1.93438563912102e-05,3.54842715966148e-05,0.486256871564218,0.00949525237381309,0.0444777611194403,0.0249875062468766,0.00599700149925037,0.00399800099950025,0.216891554222889,0.0219890054972514,0.024487756121939,0.161419290354823,1,19,0.0208333333333333,0.529411764705882,0.872600794894912,"married_person"
"11hdv.0","lucie","qd",5,1,3,-0.4,"LUCIE",10,15813,"11hdv.0","0",1072,428,58,18.4827586206897,18.0255582479778,946,63053,39.9253731343284,2.07296849087894e-05,0.000130322651448639,4.40016896648831e-06,1.34543628013777e-05,1.18832588649111e-05,0.617689015691869,0.0442225392296719,0.0299572039942939,0.0242510699001427,0.0256776034236805,0.021398002853067,0.0356633380884451,0.0356633380884451,0.0199714693295292,0.145506419400856,1,19,0.0208333333333333,0.529411764705882,0.872600794894912,"daughter"
"11hdv.0","lucie","qd",5,1,3,-0.4,"LUCIE",10,15813,"11hdv.0","0",1072,428,58,18.4827586206897,18.0255582479778,946,63053,39.9253731343284,2.07296849087894e-05,0.000130322651448639,4.40016896648831e-06,1.34543628013777e-05,1.18832588649111e-05,0.617689015691869,0.0442225392296719,0.0299572039942939,0.0242510699001427,0.0256776034236805,0.021398002853067,0.0356633380884451,0.0356633380884451,0.0199714693295292,0.145506419400856,1,19,0.0208333333333333,0.529411764705882,0.872600794894912,"servant"
"11hdv.0","madame_sommer","qd",5,2,4,-0.4,"MADAME SOMMER",10,15813,"11hdv.0","1",3218,988,96,33.5208333333333,55.1251168594855,1476,77071,30.7022995649472,0.000157102410054554,7.54030636493255e-05,2.34529826330664e-05,2.68920017210881e-05,3.56276201145626e-05,0.490319457889642,0.00919651500484027,0.0808325266214908,0.074540174249758,0.00726040658276864,0.00822846079380445,0.151016456921588,0.026621490803485,0.0164569215876089,0.135527589545015,1,22,0.0208333333333333,0.642857142857143,1,"mother"
"11hdv.0","postmeisterin","qd",5,0,0,0,"POSTMEISTERIN",10,15813,"11hdv.0","0",1338,517,43,31.1162790697674,32.5987213467657,334,17175,38.6397608370703,4.56734761667497e-05,4.94592455816407e-05,3.52539695969766e-06,1.07795791652294e-05,4.28436777012939e-05,0.60377358490566,0.0318396226415094,0.0306603773584906,0.0683962264150943,0.0424528301886792,0.0330188679245283,0.0400943396226415,0.0247641509433962,0.017688679245283,0.107311320754717,0.777777777777778,7,0.0625,0.818181818181818,0.298294121339048,"citizen"
"11hdv.0","stella","qd",5,2,3,-0.2,"STELLA",10,15813,"11hdv.0","1",4730,1227,87,54.367816091954,78.8883690166384,19814,77005,25.9408033826638,0.00012097721400047,2.95361273473449e-05,1.19669711595995e-05,2.64270613107822e-05,4.03980555069283e-05,0.511224489795918,0.00374149659863946,0.036734693877551,0.0343537414965986,0.00476190476190476,0.00374149659863946,0.186054421768707,0.0231292517006803,0.030952380952381,0.16530612244898,0.666666666666667,15,0.0138888888888889,0.473684210526316,0.797666957927639,"beloved"
"11hdv.0","stella","qd",5,2,3,-0.2,"STELLA",10,15813,"11hdv.0","1",4730,1227,87,54.367816091954,78.8883690166384,19814,77005,25.9408033826638,0.00012097721400047,2.95361273473449e-05,1.19669711595995e-05,2.64270613107822e-05,4.03980555069283e-05,0.511224489795918,0.00374149659863946,0.036734693877551,0.0343537414965986,0.00476190476190476,0.00374149659863946,0.186054421768707,0.0231292517006803,0.030952380952381,0.16530612244898,0.666666666666667,15,0.0138888888888889,0.473684210526316,0.797666957927639,"married_person"
"ksd1.0","camille","qd",4,1,3,-0.5,"CAMILLE",67,25082,"ksd1.0","1",1815,752,47,38.6170212765957,52.7486052531412,3361,126526,41.4325068870523,3.36700336700337e-05,3.64608653378707e-05,1.81922137325225e-05,2.11909302818394e-05,4.21119124072222e-05,0.531862745098039,0.00980392156862745,0.0163398692810458,0.0808823529411765,0.00571895424836601,0.0988562091503268,0.0334967320261438,0.0294117647058824,0.0155228758169935,0.178104575163399,1,98,0.0454650904650905,0.733333333333333,1,"confidant"
"ksd1.0","lacroix","qd",4,1,3,-0.5,"LACROIX",67,25082,"ksd1.0","1",1299,566,44,29.5227272727273,27.2161790428291,23329,126806,43.5719784449577,2.99375588059191e-05,2.26418511977539e-05,3.63124028643223e-05,4.07117901344229e-05,1.96133233305384e-05,0.4652466367713,0.0179372197309417,0.0134529147982063,0.086322869955157,0.0269058295964126,0.176008968609865,0.0179372197309417,0.0347533632286996,0.0112107623318386,0.150224215246637,1,98,0.0454650904650905,0.733333333333333,1,"confidant"
"ksd1.0","robespierre","qd",4,0,2,-0.5,"ROBESPIERRE",67,25082,"ksd1.0","0",2731,1013,29,94.1724137931034,217.037039130835,12878,71376,37.0926400585866,4.88221652630294e-05,2.42315893768712e-05,7.77239659258133e-05,7.21769991268343e-05,1.16613452061376e-05,0.491246684350133,0.0122015915119363,0.0419098143236074,0.109283819628647,0.00477453580901857,0.128381962864721,0.00424403183023873,0.0381962864721485,0.00901856763925729,0.160742705570292,0.575757575757576,52,0.00494351682185907,0.611111111111111,0.603958127669882,"opponent"
"ksd1.0","st","qd",4,0,2,-0.5,"ST",67,25082,"ksd1.0","0",1225,546,22,55.6818181818182,127.071553282706,41107,98515,44.5714285714286,9.0702947845805e-06,6.00240096038415e-06,5.00577589526377e-05,1.56985871271586e-05,5.19953204211621e-06,0.493212669683258,0.0135746606334842,0.0158371040723982,0.0542986425339367,0.00904977375565611,0.187782805429864,0.0192307692307692,0.0497737556561086,0.0158371040723982,0.141402714932127,0.818181818181818,76,0.0270890102173525,0.66,0.815547049706196,"citizen"
"ksd1.0","st","qd",4,0,2,-0.5,"ST",67,25082,"ksd1.0","0",1225,546,22,55.6818181818182,127.071553282706,41107,98515,44.5714285714286,9.0702947845805e-06,6.00240096038415e-06,5.00577589526377e-05,1.56985871271586e-05,5.19953204211621e-06,0.493212669683258,0.0135746606334842,0.0158371040723982,0.0542986425339367,0.00904977375565611,0.187782805429864,0.0192307692307692,0.0497737556561086,0.0158371040723982,0.141402714932127,0.818181818181818,76,0.0270890102173525,0.66,0.815547049706196,"official"
"n2kq.0","box","qd",7,2,3,-0.142857142857143,"BOX",19,28718,"n2kq.0","0",1545,582,46,33.5869565217391,42.0077115073763,724,131285,37.6699029126214,2.15749730312837e-05,6.66285931848468e-05,1.22122488856323e-05,3.11177495643515e-05,8.24521262342053e-06,0.605133267522211,0.033563672260612,0.016781836130306,0.0641658440276407,0.0108588351431392,0.0197433366238894,0.0128331688055281,0.0236920039486673,0.11253701875617,0.100691016781836,0.777777777777778,22,0.0844589687726943,0.6,0.648085482969791,"servant"
"n2kq.0","georgine","qd",7,4,5,-0.142857142857143,"GEORGINE",19,28718,"n2kq.0","1",3897,1137,97,40.1752577319588,41.9575704107928,28966,141493,29.1762894534257,5.84495195734611e-05,8.11333001252849e-05,2.66290954338364e-05,2.96085746432167e-05,1.30755488870256e-05,0.525273799494524,0.0075821398483572,0.027379949452401,0.0720303285593934,0.0067396798652064,0.010530749789385,0.006318449873631,0.018955349620893,0.134372367312553,0.190817186183656,0.722222222222222,25,0.0499221910986617,0.620689655172414,0.804414483225671,"married_person"
"n2kq.0","georgine","qd",7,4,5,-0.142857142857143,"GEORGINE",19,28718,"n2kq.0","1",3897,1137,97,40.1752577319588,41.9575704107928,28966,141493,29.1762894534257,5.84495195734611e-05,8.11333001252849e-05,2.66290954338364e-05,2.96085746432167e-05,1.30755488870256e-05,0.525273799494524,0.0075821398483572,0.027379949452401,0.0720303285593934,0.0067396798652064,0.010530749789385,0.006318449873631,0.018955349620893,0.134372367312553,0.190817186183656,0.722222222222222,25,0.0499221910986617,0.620689655172414,0.804414483225671,"aristocrat"
"n2kq.0","gertrud","qd",7,4,5,-0.142857142857143,"GERTRUD",19,28718,"n2kq.0","1",6426,1508,187,34.3636363636364,45.9173680874907,16430,142717,23.4671646436352,4.40917107583774e-05,0.000117857600556562,2.128734093218e-05,4.18971007206301e-05,1.58591391262804e-05,0.646153846153846,0.00417209908735332,0.00886571056062582,0.0737940026075619,0.00208604954367666,0.00651890482398957,0.00443285528031291,0.0213820078226858,0.0886571056062582,0.14393741851369,0.944444444444444,35,0.0738562091503268,0.620689655172414,0.996615682317972,"daughter"
"n2kq.0","gertrud","qd",7,4,5,-0.142857142857143,"GERTRUD",19,28718,"n2kq.0","1",6426,1508,187,34.3636363636364,45.9173680874907,16430,142717,23.4671646436352,4.40917107583774e-05,0.000117857600556562,2.128734093218e-05,4.18971007206301e-05,1.58591391262804e-05,0.646153846153846,0.00417209908735332,0.00886571056062582,0.0737940026075619,0.00208604954367666,0.00651890482398957,0.00443285528031291,0.0213820078226858,0.0886571056062582,0.14393741851369,0.944444444444444,35,0.0738562091503268,0.620689655172414,0.996615682317972,"citizen"
"n2kq.0","hiller","qd",7,4,4,0,"HILLER",19,28718,"n2kq.0","1",1287,505,44,29.25,22.0318215949271,46705,143484,39.2385392385392,1.72666839333506e-05,0.000102838338132456,1.46603920188826e-05,1.86779032932879e-05,4.9490495350368e-06,0.64963503649635,0.0218978102189781,0.0206812652068127,0.0450121654501217,0.0121654501216545,0.0170316301703163,0.00851581508515815,0.0267639902676399,0.0778588807785888,0.12043795620438,0.777777777777778,28,0.0771345575267144,0.6,0.870651051462547,"servant"
